province_folder,year,ppt_annual,ppt_std,tmax_annual,tmax_max,tmin_annual,tmean_annual,province
bengkulu,2024,673.5691290383526,124.22651917029413,29.402740138512495,34.099999999999994,20.17204908160193,24.787394610057213,Bengkulu
bengkulu,2025,578.1774985830342,60.14802730776545,28.883822643781997,33.19999999999999,19.750173140620298,24.316997892201147,Bengkulu
daerah_istimewa_yogyakarta,2021,1469.52324929972,182.20580736164874,30.122849462365593,32.69999999999999,22.029121863799286,26.07598566308244,DI Yogyakarta
daerah_istimewa_yogyakarta,2022,1464.2563025210084,139.0735700571538,29.9,32.5,22.009318996415775,25.95465949820789,DI Yogyakarta
daerah_istimewa_yogyakarta,2023,812.1128851540616,126.67659207741328,30.111111111111114,34.400000000000006,21.656675627240148,25.88389336917563,DI Yogyakarta
daerah_istimewa_yogyakarta,2024,1126.1896358543418,148.30700533867847,30.590501792114694,33.0,22.323611111111116,26.457056451612907,DI Yogyakarta
daerah_istimewa_yogyakarta,2025,1522.289635854342,155.49318418833695,30.007750896057342,32.400000000000006,22.19583333333334,26.101792114695343,DI Yogyakarta
dki_jakarta,2021,311.9057471264368,101.24363001886861,31.842460317460315,33.69999999999999,23.90621693121693,27.874338624338623,DKI Jakarta
dki_jakarta,2022,262.16689655172416,42.71051630884093,31.850793650793648,33.400000000000006,23.82354497354498,27.837169312169316,DKI Jakarta
dki_jakarta,2023,194.75655172413792,94.31591879007226,32.57592592592592,35.80000000000001,24.2186507936508,28.397288359788362,DKI Jakarta
dki_jakarta,2024,267.9997701149425,95.89396972754668,32.651058201058206,35.30000000000001,24.51137566137567,28.581216931216936,DKI Jakarta
dki_jakarta,2025,310.3119540229885,89.90976899669482,32.070238095238096,33.80000000000001,24.096164021164025,28.083201058201062,DKI Jakarta
gorontalo,2021,1454.4272078501338,47.28370363789485,30.65427927927928,33.599999999999994,21.867054554554556,26.260666916916918,Gorontalo
gorontalo,2022,1511.679036574487,36.81109096456474,30.576826826826824,33.400000000000006,21.788250750750755,26.18253878878879,Gorontalo
gorontalo,2023,1056.0050847457628,66.74173776073938,31.243793793793795,36.30000000000001,22.00690690690691,26.625350350350352,Gorontalo
gorontalo,2024,1361.4205173951827,78.97600188055357,30.942004504504503,34.400000000000006,22.339464464464466,26.640734484484483,Gorontalo
gorontalo,2025,1565.963157894737,73.19199028418547,30.599537037037038,33.5,22.17856606606607,26.389051551551553,Gorontalo
jambi,2021,1631.4312195121952,61.696615043369825,30.026311854268624,32.80000000000001,21.626838635127793,25.82657524469821,Jambi
jambi,2022,1646.012731707317,55.27307179238847,30.111956226209895,33.19999999999999,21.462802474170747,25.78737935019032,Jambi
jambi,2023,1379.861243902439,84.719609103765,30.5142774605764,36.0,21.898531810766723,26.20640463567156,Jambi
jambi,2024,1682.3767317073173,115.27113261606812,30.86693855356172,35.599999999999994,22.33747960848287,26.602209081022295,Jambi
jambi,2025,1712.4727073170734,104.89974421738773,30.151648314301255,33.400000000000006,21.736381865144104,25.94401508972268,Jambi
jawa_barat,2021,1810.9880896620946,126.00329653767919,29.37473233404711,35.19999999999999,20.278046930763743,24.826389632405427,Jawa Barat
jawa_barat,2022,1896.5705921712947,89.43106473554002,29.297671306209853,34.69999999999999,20.262740899357603,24.78020610278373,Jawa Barat
jawa_barat,2023,1182.411274673804,102.02287846566719,29.777939864382585,36.900000000000006,20.135929693076378,24.956934778729483,Jawa Barat
jawa_barat,2024,1704.0780194044833,136.87009733854427,30.02145788722341,36.599999999999994,20.67418361884369,25.34782075303355,Jawa Barat
jawa_barat,2025,2046.1733355637339,97.6238147072339,29.47880085653105,35.0,20.504086366880802,24.991443611705925,Jawa Barat
jawa_tengah,2021,1122.0436583261433,157.38180632475925,30.38660514541387,35.0,21.486400074571222,25.936502609992544,Jawa Tengah
jawa_tengah,2022,1149.580910267472,111.6229190741099,30.191862416107384,35.30000000000001,21.428709917971666,25.810286167039525,Jawa Tengah
jawa_tengah,2023,710.2854616048319,123.91185893569565,30.79869500372856,36.69999999999999,21.33128262490679,26.064988814317676,Jawa Tengah
jawa_tengah,2024,984.6221095772219,158.56248793247383,30.973392058165544,36.0,21.855126771066374,26.41425941461596,Jawa Tengah
jawa_tengah,2025,1264.16505608283,127.28377686004164,30.155816554809842,34.80000000000001,21.56797166293811,25.861894108873976,Jawa Tengah
jawa_timur,2021,502.27776923076925,135.8443890744406,30.542474884080367,36.400000000000006,20.892713163317882,25.717594023699125,Jawa Timur
jawa_timur,2022,529.3300085470086,99.72361201471392,30.320942812983002,35.19999999999999,20.845440494590424,25.583191653786713,Jawa Timur
jawa_timur,2023,328.0940683760684,109.27128155685129,30.743473080886144,36.5,20.68778657908295,25.715629829984547,Jawa Timur
jawa_timur,2024,439.79023931623937,140.28207989592985,30.951609994848013,36.69999999999999,21.14647411128285,26.04904205306543,Jawa Timur
jawa_timur,2025,525.3261623931625,111.1347521109269,30.30149085522926,35.30000000000001,20.948412545079858,25.62495170015456,Jawa Timur
kalimantan_barat,2021,1510.4073715651136,70.47384581233052,31.379453727799845,33.599999999999994,22.897072318860435,27.13826302333014,Kalimantan Barat
kalimantan_barat,2022,1690.9638052568698,64.44223128750535,31.26475482810574,33.69999999999999,22.783523946491353,27.024139387298547,Kalimantan Barat
kalimantan_barat,2023,1448.3631123058542,96.87972087262287,31.79564557366571,34.400000000000006,23.121952472264073,27.45879902296489,Kalimantan Barat
kalimantan_barat,2024,1837.5448745519716,113.31229100250596,31.84446080445601,34.30000000000001,23.49930717253345,27.671883988494727,Kalimantan Barat
kalimantan_barat,2025,1501.7650955794506,101.85274580222155,31.49956398666849,34.5,23.1113877094462,27.305475848057345,Kalimantan Barat
kalimantan_selatan,2021,859.3959242424244,82.1076839197831,31.617570125623818,34.0,23.81057907416968,27.714074599896747,Kalimantan Selatan
kalimantan_selatan,2022,835.3133181818182,38.793539303896836,31.573537256926517,33.19999999999999,23.733621579762524,27.65357941834452,Kalimantan Selatan
kalimantan_selatan,2023,686.8094242424241,111.49847811892923,32.36966098778179,36.80000000000001,23.890096368955433,28.129878678368613,Kalimantan Selatan
kalimantan_selatan,2024,808.4080303030303,89.926234362249,32.26254087076235,34.599999999999994,24.332563242127005,28.29755205644468,Kalimantan Selatan
kalimantan_selatan,2025,861.5205151515152,83.10823306028307,31.759860609189467,33.80000000000001,23.91123730855275,27.835548958871108,Kalimantan Selatan
kalimantan_tengah,2021,1937.5342703533029,64.25540998200964,31.526481950179836,33.900000000000006,23.54496691976378,27.535724434971808,Kalimantan Tengah
kalimantan_tengah,2022,2129.6981643625195,44.28986943117603,31.496868478309135,33.400000000000006,23.45553261400471,27.476200546156925,Kalimantan Tengah
kalimantan_tengah,2023,1671.9602534562212,107.28623585810423,32.153565561031925,36.69999999999999,23.71122396874029,27.932394764886105,Kalimantan Tengah
kalimantan_tengah,2024,2029.7684485407065,87.72863363875214,32.14798077350029,34.400000000000006,24.12090826339861,28.13444451844945,Kalimantan Tengah
kalimantan_tengah,2025,1936.4931105990784,85.9364644331966,31.645307712801387,33.599999999999994,23.725704897651084,27.685506305226234,Kalimantan Tengah
kalimantan_timur,2021,1348.1542333333337,48.44449063384831,31.395896464646462,34.0,23.96790430345118,27.681900384048824,Kalimantan Timur
kalimantan_timur,2022,1476.1511533333332,49.8583936314242,31.393231797138046,33.599999999999994,23.948423032407412,27.67082741477273,Kalimantan Timur
kalimantan_timur,2023,1201.2912533333333,74.31784374903957,31.88153014520202,35.80000000000001,24.26343644781145,28.072483296506736,Kalimantan Timur
kalimantan_timur,2024,1174.05,42.61049978537387,32.028949652777776,36.599999999999994,24.691191866582496,28.360070759680134,Kalimantan Timur
kalimantan_timur,2025,1411.5781133333335,87.81719032144441,31.309193497474745,33.900000000000006,24.121671138468017,27.71543231797138,Kalimantan Timur
kalimantan_utara,2021,2047.5489759036145,62.18635905803857,29.560107722439845,34.099999999999994,21.912005689237088,25.736056705838465,Kalimantan Utara
kalimantan_utara,2022,2256.384593373494,57.5150044702281,29.396777653422873,33.400000000000006,21.86093779145682,25.628857722439847,Kalimantan Utara
kalimantan_utara,2023,1971.4756024096384,51.46151239441134,29.930020052229064,34.599999999999994,22.259147080768518,26.09458356649879,Kalimantan Utara
kalimantan_utara,2024,1808.2897740963858,50.364101923322295,30.058606136914758,34.69999999999999,22.651457284088792,26.355031710501777,Kalimantan Utara
kalimantan_utara,2025,2111.380451807229,93.43038203630122,29.454737922029473,34.099999999999994,22.003553441522108,25.72914568177579,Kalimantan Utara
kepulauan_bangka_belitung,2021,549.2775207248892,87.6763549589692,30.80426235212248,32.5,23.846433542101607,27.325347947112043,Kepulauan Bangka Belitung
kepulauan_bangka_belitung,2022,587.4684981684982,74.64084622442904,30.743302018093253,32.5,23.716918928322897,27.230110473208075,Kepulauan Bangka Belitung
kepulauan_bangka_belitung,2023,404.89971081550027,95.9077433046073,31.246120389700764,33.80000000000001,24.071155184411975,27.65863778705637,Kepulauan Bangka Belitung
kepulauan_bangka_belitung,2024,525.5090032774243,99.4698779271222,31.43688239387613,33.0,24.396024704244958,27.91645354906054,Kepulauan Bangka Belitung
kepulauan_bangka_belitung,2025,509.40260266049734,95.6985907575199,31.017432150313148,32.69999999999999,23.941536186499654,27.4794841684064,Kepulauan Bangka Belitung
kepulauan_riau,2021,115.75336568193711,75.73106586792272,31.266819923371646,33.0,23.52887931034483,27.397849616858238,Kepulauan Riau
kepulauan_riau,2022,121.38909186052045,86.89472935005574,31.30287356321839,33.400000000000006,23.515852490421462,27.409363026819925,Kepulauan Riau
kepulauan_riau,2023,124.12979401550832,111.11850751189537,31.485795019157084,33.30000000000001,23.763247126436784,27.624521072796934,Kepulauan Riau
kepulauan_riau,2024,122.44468864468864,101.48774975649033,31.81408045977011,33.599999999999994,24.105086206896555,27.959583333333335,Kepulauan Riau
kepulauan_riau,2025,120.17885923600211,132.09155149473673,31.432519157088123,33.30000000000001,23.748467432950193,27.590493295019158,Kepulauan Riau
lampung,2021,1066.62458974359,66.01637166316172,30.822314921365553,33.599999999999994,22.0699894514768,26.446152186421177,Lampung
lampung,2022,1274.5670256410258,53.217008629070655,30.613789796701187,33.30000000000001,21.948321825853476,26.281055811277334,Lampung
lampung,2023,810.6163846153847,80.4297119299327,31.240846758726505,37.099999999999994,22.098691024165714,26.66976889144611,Lampung
lampung,2024,1069.606,108.21769667315041,31.464115841963945,35.19999999999999,22.556276371308016,27.01019610663598,Lampung
